id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
102713,49841,A Bug's Life,NULL,1999-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
102845,68243,Memories Off,NULL,1999-09-30 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
102847,45801,Shin Nippon Pro Wrestling: Toukon Retsuden 4,NULL,1999-10-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
102932,43821,Pro 18: World Tour Golf,NULL,1999-05-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
102969,47120,Links LS 2000,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
102971,92273,10-Pin Bowling,NULL,1999-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
102974,43736,Rollcage: Limited Edition,NULL,1999-05-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
103012,194817,Sound Novel Evolution 1: Otogirisou Sosei-Hen,NULL,1999-03-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
103053,39833,Change Air Blade,NULL,1999-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
103113,26630,Revenant,NULL,1999-09-30 00:00:00.000,2,NULL,NULL,NULL,52.3744,10
103292,3621,Triple Play 2000,NULL,1999-02-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
103334,49838,Bomberman Max: Red Challenger,NULL,1999-12-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
103360,51297,Warzone 2100,NULL,1999-04-10 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
103538,72020,The War in Heaven,NULL,1999-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
103922,153610,Chase Ace 2,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
103950,37513,Engacho!,NULL,1999-11-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104069,3554,NBA Showtime: NBA on NBC,NULL,1999-10-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
104181,3650,Zoor: Majuu Tsukai Densetsu,NULL,1999-06-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104206,69001,Cybernetic Empire,NULL,1999-08-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104465,49891,Motocross Maniacs 2,NULL,1999-10-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104478,130832,Aisle,NULL,1999-05-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104511,70665,Gekisou TomaRunner,NULL,1999-07-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104676,72565,Doko Demo Issyo,NULL,1999-07-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104707,68305,NFL Fever 2000,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104800,167188,Metal Knight: Mission - Terminate Resistance,NULL,1999-03-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104817,63168,SuperLite 1500 series: Sudoku,NULL,1999-05-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104939,141736,Dark Solid,NULL,1999-08-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104966,8332,Rollcage,NULL,1999-03-24 00:00:00.000,2,NULL,79.0000,2,76.8645,15
105059,71411,Paris 1313: The Mystery of Notre-Dame Cathedral,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
105502,44811,Football Manager 2000,NULL,1999-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
105505,109194,Disney's The Lion King II: Simba's Pride,"When pesky cubs Kiara and Kovu decide it's time to escape their baby sitters Timon and Pumbaa and have some fun, the results are four engaging arcade-style games likely to inspire giggles.",1999-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
105655,3420,BassMasters 2000,NULL,1999-12-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
105782,193336,Rayman 60 Levels,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
106056,39088,Fres Fighter II Turbo,NULL,1999-09-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
106079,47682,64 Hanafuda: Tenshi no Yakusoku,NULL,1999-11-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
106086,47619,Neo Poke Pro Yakyuu,NULL,1999-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
106114,3436,All Star Tennis '99,NULL,1999-08-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
106160,47686,BattleTanx,NULL,1999-01-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
106161,10658,All-Star Baseball 2000,NULL,1999-04-07 00:00:00.000,NULL,NULL,89.0000,1,NULL,NULL
106166,7569,CatDog: Quest for the Golden Hydrant,NULL,1999-11-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
106178,84780,Bakuretsu Muteki Bangai-O,NULL,1999-12-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
106461,18133,Space Invaders,NULL,1999-09-30 00:00:00.000,3,NULL,90.0000,1,80.9009,5
107080,146856,Galerians: Limited Edition,NULL,1999-08-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107173,28055,Countdown Vampires,NULL,1999-12-22 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
107220,45828,Giant Gram: All Japan Pro Wrestling 2,NULL,1999-07-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107533,59815,Web Mystery: Yochimu wo Miru Neko,NULL,1999-04-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107561,55139,Medarot 2 Kabuto Version,NULL,1999-07-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107567,45056,Blood Lines,NULL,1999-05-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107909,69786,Traitors Gate,NULL,1999-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
107953,186061,Arthur's Thinking Games,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
108154,122138,Trio Infernale,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
108327,8681,Redline,NULL,1999-03-31 00:00:00.000,2,NULL,NULL,NULL,50.0000,4
108342,186439,Mori no Oukoku,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
108621,50040,Halloween Racer,NULL,1999-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
108704,83237,Die Original Moorhuhn Jagd,NULL,1999-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
108740,44779,SD Gundam G Generation Zero,NULL,1999-09-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
108894,63532,Favorite Dear,NULL,1999-02-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
108913,1252,"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",NULL,1999-10-05 00:00:00.000,4,NULL,70.0000,1,81.4195,17
108943,11614,Total Annihilation: Kingdoms,NULL,1999-06-25 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
108969,37455,Trump Collection: Bottom Up Teki Trump Seikatsu,NULL,1999-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
108974,139075,Star Wars Combine,NULL,1999-09-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
108977,13225,Gruntz,NULL,1999-02-28 00:00:00.000,3,NULL,74.0000,1,73.5315,7
109062,20377,Sinistar Unleashed,NULL,1999-09-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
109225,43873,Lucifer Ring,NULL,1999-01-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
109397,3431,Cyber Tiger,NULL,1999-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
109556,42528,Wizardry I-II-III: The Story of Llylgamyn,NULL,1999-06-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
109607,24164,International Karate 2000,NULL,1999-11-22 00:00:00.000,NULL,NULL,90.0000,1,NULL,NULL
109695,79588,70's Robot Anime Geppy-X,NULL,1999-05-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
